node_id,ars_id,name,lat,lng,stop_type,in_seoul,toward
102000140,03234,숙명여대정문,37.5451308,126.9643097,일반차로,1,숙명여대후문.이봉창활동터
102000141,03235,숙명여대후문.이봉창활동터,37.546084,126.9632996,일반차로,1,효창공원후문.용산데시앙포레
102000142,03236,효창공원후문,37.546791,126.9625779,일반차로,1,한겨레신문사입구
102000143,03237,한겨레신문사입구,37.5458806,126.9591929,일반차로,1,대한노인회중앙회
102000144,03238,대한노인회중앙회,37.543789,126.9576684,일반차로,1,효창운동장.효창동주민센터
102000145,03239,효창운동장.효창동주민센터,37.5422095,126.9617671,일반차로,1,금양초등학교
102000146,03240,효창동주민센터.금양초등학교,37.541624,126.9622337,일반차로,1,효창공원삼거리.윤봉길의사등묘역
102000147,03241,금양초등학교,37.5412993,126.9620007,일반차로,1,효창공원앞역.이봉창역사울림관
102000148,03242,효창공원역,37.538786,126.9610379,일반차로,1,용문시장
102000149,03243,도원삼성래미안아파트,37.5397768,126.9574339,일반차로,1,도화동현대아파트
102000150,03244,도원삼성래미안아파트,37.5396254,126.9572103,일반차로,1,용문동중앙빌라앞
102000151,03245,중앙하이츠빌라앞,37.5380145,126.9600336,일반차로,1,도원삼성래미안아파트
102000152,03246,중앙하이츠빌라앞,37.5379739,126.9598809,일반차로,1,용문시장
102000153,03247,용문시장,37.5363479,126.960968,일반차로,1,남정초등학교
102000154,03248,용문시장,37.536726,126.960921,일반차로,1,용문시장.용문동새마을금고
102000155,03249,용산전자상가입구,37.5345702,126.9622225,일반차로,1,용문시장
102000156,03250,용산전자상가입구,37.5346611,126.9619447,일반차로,1,신용산지하차도
102000157,03251,신용산지하차도,37.5328349,126.9636682,일반차로,1,용산전자상가입구
102000158,03252,신용산지하차도,37.53259,126.963882,일반차로,1,용산역
102000159,03253,신용산역5번출구,37.5300339,126.9676785,일반차로,1,용산역3번출구.용산차고지
102000161,03255,용산역,37.5288666,126.9658225,일반차로,1,용산푸르지오써밋
102000162,03256,용산푸르지오써밋,37.5275756,126.9647596,일반차로,1,한강초등학교
